"Institution","Recs","LCS","GCS"
"Univ Def",1,0,11
"Univ Estado Mato Grosso",1,0,0
"Univ Estadual Campinas",1,0,6
"Univ Federico II",1,0,24
"Univ Gaston Berger St Louis",1,1,59
"Univ Genoa",1,5,111
"Univ Guangxi",1,0,0
"Univ Houston",1,17,263
"Univ Illinois",1,0,15
"Univ Kaiserslautern Landau RPTU",1,1,18
"Univ Lagos",1,0,23
"Univ Lancaster",1,0,67
"Univ Leeds",1,0,5
"Univ Leicester",1,0,8
"Univ Leipzig",1,0,23
"Univ Macau",1,0,22
"Univ Management & Technol",1,0,0
"Univ Manchester",1,0,0
"Univ Massachusetts",1,0,0
"Univ Minnesota",1,0,7
"Univ Missouri",1,0,6
"Univ Modena & Reggio Emilia",1,0,35
"Univ Montana",1,0,9
"Univ Petr Energy & Studies",1,0,0
"Univ Puerto Rico",1,0,9
"Univ Putra Malaysia",1,0,146
"Univ Queensland",1,0,2
"Univ S Florida",1,0,0
"Univ Sannio",1,0,6
"Univ Sci & Technol Hanoi",1,2,71
"Univ Sharjah",1,1,7
"Univ Technol Sydney",1,0,146
"Univ Toronto",1,0,10
"Univ Trento",1,0,7
"Univ Uyo",1,0,23
"Univ Wollongong",1,0,3
"US Geol Survey USGS",1,1,3
"Vaagdevi Coll Engn",1,0,0
"Vietnam Acad Sci & Technol",1,2,71
"VinUniversity",1,0,1
"Vishwakarma Govt Engn Coll",1,0,3
"VIT",1,0,0
"VIT AP Univ",1,0,0
"VNU Univ Sci",1,2,71
"Vrije Univ Brussel",1,0,107
"Vytautas Magnus Univ",1,0,8
"Wageningen Univ & Res",1,5,111
"Wuhan Digital Engn Inst",1,0,0
"Wuhan Univ Technol",1,0,0
"Xian Inst Opt & Precis Mech CAS",1,0,6
"Xian Key Lab Social Intelligence & Complex Data Pr",1,0,1
"Xian Space Sensor Opt Technol Engn Res Ctr",1,0,6
"Xian Surveying & Mapping Stn",1,0,0
"Xian Technol Univ",1,0,6
"Xian Univ Technol",1,0,23
"Xiangtan Univ",1,0,6
"Xinjiang Univ",1,0,1
"Xuzhou Univ Technol",1,0,1
"Yanbian Univ",1,1,9
"Yanshan Univ",1,0,1
"Yunnan Inst Water & Hydropower Engn Invest Design",1,0,0
"Yunnan Water Resources & Hydropower Survey & Desig",1,0,0
"Zhejiang A&F Univ",1,0,7
"Zhejiang Univ Technol",1,0,33
"Zhengzhou Nat Reserve Affairs Ctr",1,0,0
"Zhengzhou Univ Aeronaut",1,0,0
"Zhongnan Univ Econ & Law",1,0,24
